city,gps_latitude,gps_longitude,travel_time_min
Ajka,47.1036,17.5518,132
Baja,46.1818,18.9543,163
Budaörs,47.4621,18.953,11
Békéscsaba,46.6736,21.0877,149
Cegléd,47.1738,19.7966,56
Debrecen,47.5289,21.6254,155
Dunaharaszti,47.3537,19.0971,-1
Dunakeszi,47.6344,19.1397,18
Dunaújváros,46.9619,18.9355,68
Eger,47.9025,20.3772,112
Esztergom,47.7884,18.7434,65
Érd,47.392,18.9045,16
Gyula,46.6473,21.2784,169
Gyál,47.3837,19.2171,42
Gyöngyös,47.7773,19.9295,84
Győr,47.6875,17.6504,84
Gárdony,47.1965,18.6115,39
Gödöllő,47.6008,19.3605,25
Hajdúböszörmény,47.6719,21.5127,209
Hajdúszoboszló,47.4435,21.3966,142
Hódmezővásárhely,46.4181,20.33,188
Jászberény,47.5002,19.9063,96
Kaposvár,46.3594,17.7968,144
Kazincbarcika,48.2489,20.619,165
Kecskemét,46.8964,19.6897,80
Keszthely,46.7655,17.248,156
Kiskunfélegyháza,46.7113,19.8515,97
Kiskunhalas,46.4354,19.4834,162
Miskolc,48.1035,20.7784,122
Mosonmagyaróvár,47.8681,17.2689,99
Nagykanizsa,46.459,16.9897,189
Nyíregyháza,47.9495,21.7244,184
Orosháza,46.5684,20.6545,195
Ózd,48.2241,20.2889,207
Pápa,47.326,17.4698,138
Pécs,46.0727,18.2323,153
Salgótarján,48.0935,19.8,130
Siófok,46.9091,18.0746,80
Sopron,47.6817,16.5845,145
Szeged,46.253,20.1414,145
Szekszárd,46.3474,18.7062,112
Szentendre,47.6795,19.0669,-1
Szentes,46.6548,20.2637,178
Szigetszentmiklós,46.4181,20.33,-1
Szolnok,47.1621,20.1825,79
Szombathely,47.2307,16.6218,140
Székesfehérvár,47.186,18.4221,45
Tata,47.6458,18.3303,60
Tatabánya,47.5692,18.4048,51
Veszprém,47.1028,17.9093,88
Vác,47.7842,19.1352,33
Zalaegerszeg,46.8417,16.8416,218
